DS7MS	Det. Pos. 3.ª-Pers.-Plur./Sing. Masc. Sing.
DTEL	Det. Int.-Exc. Fem./Masc. Plur./Sing.
DTEP	Det. Int.-Exc. Fem./Masc. Plur.
DTES	Det. Int.-Exc. Fem./Masc. Sing.
DTFL	Det. Int.-Exc. Fem. Plur./Sing.
DTFP	Det. Int.-Exc. Fem. Plur.
DTFS	Det. Int.-Exc. Fem. Sing.
DTML	Det. Int.-Exc. Masc. Plur./Sing.
DTMP	Det. Int.-Exc. Masc. Plur.
DTMS	Det. Int.-Exc. Masc. Sing.
I	Interj.
NCEL	Sust. Com. Fem./Masc. Plur./Sing.
NCEP	Sust. Com. Fem./Masc. Plur.
NCES	Sust. Com. Fem./Masc. Sing.
NCFL	Sust. Com. Fem. Plur./Sing.
NCFP	Sust. Com. Fem. Plur.
NCFS	Sust. Com. Fem. Sing.
NCML	Sust. Com. Masc. Plur./Sing.
NCMP	Sust. Com. Masc. Plur.
NCMS	Sust. Com. Masc. Sing.
NPFP	Sust. Prop. Fem. Plur.
NPFS	Sust. Prop. Fem. Sing.
NPMP	Sust. Prop. Masc. Plur.
NPMS	Sust. Prop. Masc. Sing.
NP	Sust. Prop.
PBES	Pron. Dist. Fem./Masc. Sing.
PCEP	Pron. Num.-Card. Fem./Masc. Plur.
PCFP	Pron. Num.-Card. Fem. Plur.
PCFS	Pron. Num.-Card. Fem. Sing.
PCMP	Pron. Num.-Card. Masc. Plur.
PCMS	Pron. Num.-Card. Masc. Sing.
PDAS	Pron. Dem. Masc./Neut. Sing.
PDEP	Pron. Dem. Fem./Masc. Plur.
PDES	Pron. Dem. Com. Sing.
PDFP	Pron. Dem. Fem. Plur.
PDFS	Pron. Dem. Fem. Sing.
PDMP	Pron. Dem. Masc. Plur.
PDMS	Pron. Dem. Masc. Sing.
PDNS	Pron. Dem. Neut. Sing.
PEFP	Pron. Refl. Fem. Plur.
PEFS	Pron. Refl. Fem. Sing.
PEMP	Pron. Refl. Masc. Plur.
PEMS	Pron. Refl. Masc. Sing.
PENS	Pron. Refl. Neut. Sing.
PGAS	Pron. Glob. Neut. Sing. 
PGFP	Pron. Glob. Fem. Plur.
PGFS	Pron. Glob. Fem. Sing.
PGMP	Pron. Glob. Masc. Plur.
PGMS	Pron. Glob. Masc. Sing.
